Peak id,Log FC,P-value,Adjusted P-value,Log Odds
1051,4.45,0,0,13.7249
701,5.12,0,0,12.6445
451,-8.11,0,0,11.9562
1447,-2.4,0,0,10.9332
850,-2.37,0,0,10.5052
3080,-2.11,0,0,9.6987
1242,3.2,0,0,9.3678
2092,2.63,0,0,8.3944
2031,4.3,0,0,8.3562
2570,-2.52,0,0.0001,8.148
1287,-2.93,0,0.0001,8.0064
2001,3.63,0,0.0001,7.7705
511,-2.04,0,0.0001,7.6426
213,-3.53,0,0.0001,7.1976
1883,1.91,0,0.0001,7.1776
2082,-1.6,0,0.0001,6.787
2170,-3.21,0,0.0001,6.7758
655,-3.37,0,0.0001,6.6589
1055,-2.95,0,0.0001,6.6433
2172,-2.19,0,0.0001,6.4345
2179,-2.21,0,0.0002,6.1999
849,-2.11,0,0.0002,6.1641
1902,-3.58,0,0.0002,5.896
705,2.58,0,0.0002,5.8218
1891,1.39,0,0.0003,5.5572
859,-3.47,0,0.0003,5.5012
1903,-2.96,0,0.0003,5.2635
558,3.62,0,0.0003,5.2245
517,3.73,0,0.0004,5.0845
1890,1.71,0,0.0004,5.0163
2004,3.37,0,0.0005,5.0145
2174,-2.18,0,0.0004,4.949
2175,-2.6,0,0.0005,4.9247
2256,-2.97,0,0.0004,4.8617
2250,-2.88,0,0.0005,4.6009
1155,-2.79,0,0.0007,4.1085
2030,4.27,0,0.0008,3.9781
2000,3.5,0,0.0009,3.8465
2093,1.52,0,0.001,3.7125
516,3.56,0,0.0011,3.608
2829,0.94,0,0.0011,3.5423
1318,3.28,0,0.0013,3.5053
1885,2.68,0,0.0012,3.4679
923,1.4,0,0.0013,3.3025
1376,-2.66,0,0.0013,3.2385
1610,1.64,0,0.0014,3.1755
1253,2.67,0,0.0014,3.1248
2739,-0.95,0,0.0014,3.1099
1887,1.57,0,0.0016,2.9617
1611,-1.66,0,0.0019,2.8883
3083,-2.73,0,0.0019,2.8732
509,-2.25,0,0.0019,2.8709
508,-3.49,0,0.0017,2.8626
512,-1.8,0,0.0019,2.8302
2828,0.87,0,0.0018,2.8093
510,-2.31,0,0.0019,2.7853
502,-3.38,0,0.0018,2.7648
353,1.59,0,0.0018,2.7387
920,1.49,0,0.0018,2.7309
1904,-2.69,0,0.0021,2.6436
2032,4.11,0,0.0019,2.5871
1347,-2.58,0.0001,0.0027,2.4861
2080,-3.27,0,0.0021,2.4021
2077,-2.74,0,0.0022,2.3412
2306,-3.23,0,0.0024,2.2575
1893,1.44,0.0001,0.0027,2.2352
1503,1.81,0.0001,0.0026,2.1489
2357,-2.15,0.0001,0.0026,2.1179
2678,1.55,0.0001,0.0026,2.1091
3055,-2.07,0.0001,0.0033,2.0941
2721,-2.96,0.0001,0.0026,2.0886
2675,1.38,0.0001,0.0026,2.0792
919,1.43,0.0001,0.0026,2.0354
454,-3.3,0.0001,0.0042,2.0183
2925,-2.85,0.0001,0.0027,1.9622
1179,-3.07,0.0001,0.0028,1.9007
2737,1.39,0.0001,0.0028,1.8903
1892,1.47,0.0001,0.0028,1.8731
917,1.63,0.0001,0.0028,1.8618
2177,-1.78,0.0001,0.0029,1.8046
918,1.38,0.0001,0.0031,1.7387
2035,2.96,0.0001,0.0042,1.7289
2615,-2.17,0.0001,0.0031,1.7179
2139,0.98,0.0001,0.0031,1.7117
2094,1.29,0.0001,0.0032,1.6665
2180,-2.58,0.0002,0.0055,1.6527
2988,-2.09,0.0001,0.0033,1.6153
2081,-3.5,0.0001,0.0033,1.5906
2862,-0.7,0.0001,0.0033,1.5849
214,-1.31,0.0001,0.0033,1.5638
1463,1.45,0.0001,0.0036,1.452
519,2.97,0.0002,0.0053,1.3967
2176,-2.71,0.0001,0.004,1.334
2506,1,0.0001,0.0041,1.2982
1018,-2.49,0.0001,0.0042,1.2497
1888,1.13,0.0001,0.0042,1.2424
2078,-2.66,0.0001,0.0042,1.2253
1131,-1.34,0.0001,0.0042,1.2252
3107,1.14,0.0001,0.0043,1.1575
2571,-1.94,0.0001,0.0044,1.1247
2659,1.25,0.0001,0.0046,1.0574
2358,-1.55,0.0001,0.0046,1.0519
1882,1.41,0.0002,0.0051,0.9195
1412,1.94,0.0002,0.0053,0.8698
2428,-1.17,0.0002,0.0053,0.8511
2677,1.29,0.0002,0.0058,0.7266
2096,0.64,0.0002,0.0063,0.6359
456,-1.79,0.0002,0.0064,0.6105
1886,0.85,0.0002,0.0064,0.5973
939,1.39,0.0002,0.0064,0.5849
2003,3.82,0.0004,0.0097,0.5125
220,-1.6,0.0002,0.0068,0.5095
2701,-1.29,0.0002,0.0068,0.4905
2761,1.28,0.0002,0.0068,0.4898
100,2.26,0.0003,0.008,0.4741
11,-1.48,0.0002,0.0069,0.4713
2992,-1.71,0.0003,0.0077,0.3409
1692,1.93,0.0003,0.0078,0.3099
1295,-1.09,0.0003,0.0078,0.3064
2504,0.97,0.0003,0.0078,0.2987
2340,-1.52,0.0004,0.0093,0.2862
4,-3.99,0.0007,0.0146,0.2845
2190,-1.77,0.0003,0.0078,0.2824
204,-2.02,0.0003,0.0085,0.1792
1293,-2.46,0.0003,0.0088,0.1287
2339,-1.62,0.0004,0.0109,0.0691
27,-1.47,0.0004,0.0093,0.0493